#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Attack Animal Gakuen (Japan) (Famicom 3D System);Attack Animal Gakuen (Japan) (Famicom 3D System);Famicom;;;;;;;;;;;;;;;;;;
Attack of the Killer Tomatoes (Europe);Attack of the Killer Tomatoes (Europe);Famicom;;;;;;;;;;;;;;;;;;
Auge (World) (Aftermarket) (Unl);Auge (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Auto-Upturn (Asia) (Ja) (PAL) (Unl);Auto-Upturn (Asia) (Ja) (PAL) (Unl);Famicom;;;;;;;;;;;;;;;;;;
B-Wings (Japan);B-Wings (Japan);Famicom;;;;;;;;;;;;;;;;;;
BB Car (Asia) (En) (Unl);BB Car (Asia) (En) (Unl);Famicom;;;;;;;;;;;;;;;;;;
BMX Simulator (Asia) (En) (B-S2) (Pirate);BMX Simulator (Asia) (En) (B-S2) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Babel Blox (World) (Robert L Bryant) (Aftermarket) (Unl);Babel Blox (World) (Robert L Bryant) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Babel no Tou (Japan) (En) (Rev 1) (Namcot Collection);Babel no Tou (Japan) (En) (Rev 1) (Namcot Collection);Famicom;;;;;;;;;;;;;;;;;;
Baboom! (World) (Aftermarket) (Unl);Baboom! (World) (Aftermarket) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Baby Boomer (Korea) (En) (Unl);Baby Boomer (Korea) (En) (Unl);Famicom;;;;;;;;;;;;;;;;;;
Back to the Future (USA);Back to the Future (USA);Famicom;;;;;;;;;;;;;;;;;;
Back to the Future IV (Asia) (En) (Pirate);Back to the Future IV (Asia) (En) (Pirate);Famicom;;;;;;;;;;;;;;;;;;
Back to the Future Part II & III (USA);Back to the Future Part II & III (USA);Famicom;;;;;;;;;;;;;;;;;;
Bad Dudes (USA);Bad Dudes (USA);Famicom;;;;;;;;;;;;;;;;;;
