#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Bill Walsh College Football (USA);Bill Walsh College Football (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Bing Bing! Bingo (Japan);Bing Bing! Bingo (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
BioMetal (Europe);BioMetal (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Bishin Densetsu Zoku (Japan);Bishin Densetsu Zoku (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bishoujo Janshi Suchie-Pai (Japan) (Rev 1);Bishoujo Janshi Suchie-Pai (Japan) (Rev 1);Super Famicom;;;;;;;;;;;;;;;;;;
Bishoujo Senshi Sailor Moon (Japan);Bishoujo Senshi Sailor Moon (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bishoujo Senshi Sailor Moon - Another Story (Japan);Bishoujo Senshi Sailor Moon - Another Story (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bishoujo Senshi Sailor Moon R (Japan);Bishoujo Senshi Sailor Moon R (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan);Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan);Bishoujo Senshi Sailor Moon S - Kondo wa Puzzle de Oshioki yo! (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan);Bishoujo Senshi Sailor Moon S - Kurukkurin (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan);Bishoujo Senshi Sailor Moon SuperS - Fuwafuwa Panic (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan);Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan);Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
BlaZeon (Japan) (En);BlaZeon (Japan) (En);Super Famicom;;;;;;;;;;;;;;;;;;
BlaZeon - The Bio-Cyborg Challenge (USA);BlaZeon - The Bio-Cyborg Challenge (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Blackhawk (Europe) (En,Fr,De);Blackhawk (Europe) (En,Fr,De);Super Famicom;;;;;;;;;;;;;;;;;;
Blackthorne (USA);Blackthorne (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Blackthorne - Fukushuu no Kuroki Toge (Japan);Blackthorne - Fukushuu no Kuroki Toge (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Blazing Skies (Europe);Blazing Skies (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Block Kuzushi (Japan);Block Kuzushi (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Blue Crystalrod, The (Japan);Blue Crystalrod, The (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Blues Brothers, The (Europe);Blues Brothers, The (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Bokujou Monogatari (Japan) (Rev 1);Bokujou Monogatari (Japan) (Rev 1);Super Famicom;;;;;;;;;;;;;;;;;;
Bomberman B-Daman (Japan);Bomberman B-Daman (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bombuzal (Japan);Bombuzal (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Bonkers (USA);Bonkers (USA);Super Famicom;;;;;;;;;;;;;;;;;;
Bonkers - Hollywood Daisakusen! (Japan);Bonkers - Hollywood Daisakusen! (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Boogerman - A Pick and Flick Adventure (Europe);Boogerman - A Pick and Flick Adventure (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Borderline (World) (Aftermarket) (Unl);Borderline (World) (Aftermarket) (Unl);Super Famicom;;;;;;;;;;;;;;;;;;
Bounty Sword (Japan);Bounty Sword (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
Boxing Legends of the Ring (Europe);Boxing Legends of the Ring (Europe);Super Famicom;;;;;;;;;;;;;;;;;;
Brain Lord (Japan);Brain Lord (Japan);Super Famicom;;;;;;;;;;;;;;;;;;
